
 Web Server File Explorer 0.1

404 Not Found  - archlinux.org/home
301 Moved Permanently  - archlinux.org/about
404 Not Found  - archlinux.org/contact
404 Not Found  - archlinux.org/wp-admin
301 Moved Permanently  - archlinux.org/admin
200 OK  - archlinux.org/robots.txt
